topic,category,en_id,ar_id,same_topic_cross_sim,best_other_ar_sim,en_to_ar_rank,ar_to_en_rank
IPCC AR6,policy,1,79,0.7374747395515442,0.7516231536865234,2,1
COP28 Dubai,policy,2,81,0.6503744125366211,0.6378063559532166,1,2
NASA 2023 warmest year,science,11,86,0.7282295227050781,0.6536492109298706,1,1
Greenland ice loss,science,12,87,0.713966965675354,0.6669495701789856,1,1
Great Barrier Reef bleaching,science,14,89,0.646416425704956,0.6119032502174377,1,3
Dead Sea shrinking,impact,23,94,0.6537144780158997,0.6451181173324585,1,2
Derna Libya floods,impact,26,97,0.6596782207489014,0.6182053089141846,1,2
Jordan water scarcity,impact,27,96,0.6602690815925598,0.604564368724823,1,1
Disi Water Conveyance,adaptation,35,105,0.7056789398193359,0.6622492671012878,1,1
Mafraq solar 200 MW,adaptation,36,103,0.7594879269599915,0.6402417421340942,1,1
