,[EN] The IPCC released its Sixth Assessment R,"[EN] At COP28 in Dubai, over 190 nations agre",[EN] Researchers at NASA's Goddard Institute ,[EN] A study published in Science in January ,[EN] Marine biologists at the Great Barrier R,[EN] The Dead Sea has lost approximately one-,"[EN] Flash floods in Derna, Libya in Septembe",[EN] Jordan is classified as one of the most ,"[EN] Jordan's Disi Water Conveyance Project, ",[EN] The Kingdom of Jordan inaugurated a 200-,[AR] ﺖﺑ ﺔﻴﻨﻌﻤﻟﺍ ﺔﻴﻟﻭﺪﻟﺍ ﺔﻴﻣﻮﻜﺤﻟﺍ ﺔﺌﻴﻬﻟﺍ ﺕﺭﺪﺻﺃ,[AR] ﺪﻘﻌﻨﻤﻟﺍ ﻦﻳﺮﺸﻌﻟﺍﻭ ﻦﻣﺎﺜﻟﺍ ﻑﺍﺮﻃﻷﺍ ﺮﻤﺗﺆﻣ ﻲﻓ,[AR] ﺀﺎﻀﻔﻟﺍ ﺕﺎﺳﺍﺭﺪﻟ ﺩﺭﺍﺩﻮﻏ ﺪﻬﻌﻣ ﻲﻓ ﻥﻮﺜﺣﺎﺑ ﺪﻛﺃ,[AR] ﺀﺎﻄﻐﻟﺍ ﻥﺃ ﺲﻨﻳﺎﺳ ﺔﻠﺠﻣ ﻲﻓ ﺕﺮﺸﻧ ﺔﺳﺍﺭﺩ ﺖﻔﺸﻛ,[AR] ﺮﻣ ﺽﺎﻀﻴﺑﺍ ﺙﺪﺣ ﺔﻳﺮﺤﺒﻟﺍ ﺀﺎﻴﺣﻷﺍ ﺀﺎﻤﻠﻋ ﻖﺛﻭ,[AR] ﻡ ﺔﻴﺤﻄﺴﻟﺍ ﻪﺘﺣﺎﺴﻣ ﺚﻠﺛ ﻮﺤﻧ ﺖﻴﻤﻟﺍ ﺮﺤﺒﻟﺍ ﺪﻘﻓ,[AR]  ﺎﻴﺒﻴﻠﺑ ﺔﻧﺭﺩ ﻲﻓ ﺔﺌﺟﺎﻔﻤﻟﺍ ﺕﺎﻧﺎﻀﻴﻔﻟﺍ ﺖﺒﺒﺴﺗ,[AR] ﻝﺍ ﻲﻓ ﺎﺤﺷ ﻥﺍﺪﻠﺒﻟﺍ ﺮﺜﻛﺃ ﻦﻣ ﻥﺩﺭﻷﺍ ﻒﻨﺼﻳ,[AR] 100 ﻥﺩﺭﻷﺍ ﻲﻓ ﻲﺴﻳﺪﻟﺍ ﻩﺎﻴﻣ ﻞﻘﻧ ﻉﻭﺮﺸﻣ ﺮﻓﻮﻳ,[AR] ﺎﻃ ﺔﻄﺤﻣ ﺔﻴﻤﺷﺎﻬﻟﺍ ﺔﻴﻧﺩﺭﻷﺍ ﺔﻜﻠﻤﻤﻟﺍ ﺖﺤﺘﺘﻓﺍ
[EN] The IPCC released its Sixth Assessment R,1.0,0.84085953,0.7162771,0.73025125,0.7015346,0.7101457,0.7377035,0.69028044,0.68501985,0.7363008,0.73747474,0.75162315,0.64652336,0.5892812,0.60982674,0.65892684,0.6275375,0.62640166,0.61570215,0.6542845
"[EN] At COP28 in Dubai, over 190 nations agre",0.84085953,1.0000004,0.6523079,0.6810325,0.6416603,0.69813263,0.6980231,0.6658963,0.76764894,0.7804051,0.62456536,0.6503744,0.5455574,0.55014455,0.5536071,0.5699384,0.5611731,0.57956076,0.60794485,0.63780636
[EN] Researchers at NASA's Goddard Institute ,0.7162771,0.6523079,1.0,0.8049798,0.71375114,0.65274566,0.7973584,0.7436601,0.5937687,0.6326474,0.59887624,0.55742615,0.7282295,0.6090635,0.6536492,0.5379387,0.6467541,0.56321794,0.51935786,0.53657144
[EN] A study published in Science in January ,0.73025125,0.6810325,0.8049798,0.9999999,0.75779617,0.70983815,0.79390234,0.74327314,0.6737865,0.6658087,0.60977733,0.5983871,0.66694957,0.71396697,0.6631724,0.55614316,0.6624757,0.6211721,0.5845374,0.5997884
[EN] Marine biologists at the Great Barrier R,0.7015346,0.6416603,0.71375114,0.75779617,1.0000002,0.7351329,0.77435434,0.71126795,0.6545441,0.6199747,0.58824897,0.61190325,0.58768225,0.5877837,0.6464164,0.5974299,0.5921308,0.609372,0.55469877,0.5511733
[EN] The Dead Sea has lost approximately one-,0.7101457,0.69813263,0.65274566,0.70983815,0.7351329,1.0000001,0.76912165,0.7906496,0.75054073,0.66143095,0.60521966,0.63817257,0.5392753,0.58752185,0.57147074,0.6537145,0.6225991,0.6451181,0.6107507,0.5683324
"[EN] Flash floods in Derna, Libya in Septembe",0.7377035,0.6980231,0.7973584,0.79390234,0.77435434,0.76912165,1.0,0.7407875,0.65835774,0.6885555,0.5924926,0.5905954,0.60838556,0.59263635,0.6182053,0.5773284,0.6596782,0.5978234,0.5395856,0.5781026
[EN] Jordan is classified as one of the most ,0.69028044,0.6658963,0.7436601,0.74327314,0.71126795,0.7906496,0.7407875,0.9999999,0.76325166,0.6738893,0.57129234,0.5624714,0.54134583,0.60160553,0.56560594,0.55617124,0.60456437,0.6602691,0.5886172,0.57117486
"[EN] Jordan's Disi Water Conveyance Project, ",0.68501985,0.76764894,0.5937687,0.6737865,0.6545441,0.75054073,0.65835774,0.76325166,0.99999964,0.8289337,0.54719806,0.5633133,0.48772168,0.5539266,0.50686586,0.54018205,0.5318587,0.6078091,0.70567894,0.66224927
[EN] The Kingdom of Jordan inaugurated a 200-,0.7363008,0.7804051,0.6326474,0.6658087,0.6199747,0.66143095,0.6885555,0.6738893,0.8289337,1.0000004,0.58863056,0.57016516,0.5547359,0.5221896,0.5152738,0.52208245,0.5862432,0.61370623,0.64024174,0.7594879
